id	filename	md5	size	state
0302ccdb-2853-4679-be48-de365da40545	6d0be676-7196-464a-b521-8f0ecd6322f2.rna_seq.augmented_star_gene_counts.tsv			
6a299d04-3ed3-432e-b6e5-4e4f4d3dfb6d	090c4a3a-a761-4cde-9354-57348d0b6b68.rna_seq.augmented_star_gene_counts.tsv			
1ef87789-2fa0-4d28-826c-802358bdf67a	08e12a24-32d6-4551-8ccc-fefc901bb7f1.rna_seq.augmented_star_gene_counts.tsv			
e0865862-8829-494f-9a15-237519513ed5	e08e8293-e5eb-40df-b327-8559079126a3.rna_seq.augmented_star_gene_counts.tsv			
20dad6c3-80f7-46c9-90a8-313f8eb1b7cb	fa04bd56-96d9-442f-bb62-fa41fdb10bb2.rna_seq.augmented_star_gene_counts.tsv			
c8190f3c-3f74-4e88-add7-e82f5def2e63	0456066c-3a77-4795-b6e9-4723fc1650e2.rna_seq.augmented_star_gene_counts.tsv			
810270f3-3560-4386-a7b9-bf10fa9fc0d4	1d580915-a57b-4952-9936-810db9ce4c96.rna_seq.augmented_star_gene_counts.tsv			
bf7e3880-e49d-412a-99bb-0f17456bd692	a831d086-aa8a-4276-8edd-0fe6e01afa6d.rna_seq.augmented_star_gene_counts.tsv			
6fcfff7a-0e6b-47a6-bc96-6cc12d530d27	861ee15f-1ee1-4842-997d-18855a595ce2.rna_seq.augmented_star_gene_counts.tsv			
7acd7331-19ee-4160-9bed-f23663032491	d409a68f-39e6-4b1d-af0b-69a9cf8a6532.rna_seq.augmented_star_gene_counts.tsv			
409790bc-30ef-4f2f-9025-52d0c1864a04	8488045b-16a9-4910-80e8-719381516fe6.rna_seq.augmented_star_gene_counts.tsv			
09552102-8f10-4e2a-9710-f1585b6a7efb	4c6bcb4d-d212-4ecb-ae60-77da82be4449.rna_seq.augmented_star_gene_counts.tsv			
8ed43daa-0118-4481-9e7e-71c4b709b626	37805a9e-4343-4cdb-b817-35a0f21ae98d.rna_seq.augmented_star_gene_counts.tsv			
59531f37-b664-4e6a-982f-48a5ee901a41	f28c44cf-ea7f-454c-ac44-a7d9dc82464c.rna_seq.augmented_star_gene_counts.tsv			
e4e6b6d0-e0d8-4477-bdcc-57daf4468e92	08954bf4-09d7-4702-8d53-8e4c86d31fe2.rna_seq.augmented_star_gene_counts.tsv			
459912ae-ae3b-4066-8e8a-ca2842e82f41	abf51d0e-0d4c-4636-b159-784a0661cd63.rna_seq.augmented_star_gene_counts.tsv			
36a551c6-a242-42fe-84d5-e1bbc40664e0	7142c4ba-68f2-46ad-a8b4-a00d45646505.rna_seq.augmented_star_gene_counts.tsv			
4dc4c39e-b7aa-4575-90b7-e82d0d722761	6aec4fc0-1ef4-4fe6-84d6-87da7ba0858e.rna_seq.augmented_star_gene_counts.tsv			
86eb7606-22d5-45e7-a46c-014160f1f136	b90f706c-8515-4174-a250-9147edd0e5bb.rna_seq.augmented_star_gene_counts.tsv			
46602657-873c-4a6b-86e3-fb0f75eee3e2	72aa6a1e-b0af-4cbd-8e3f-178e70fd76a5.rna_seq.augmented_star_gene_counts.tsv			
3b4422da-eae0-42fa-99fa-de497698e76b	d685d173-dfaa-43af-90fd-fbc7758988ae.rna_seq.augmented_star_gene_counts.tsv			
eb358d94-4cba-4f14-ba44-a8fdaa4140a2	659d9be2-2d4e-4d05-a5f5-7f26a8d2d4e9.rna_seq.augmented_star_gene_counts.tsv			
41542898-f98a-4e0f-b4cf-e7153a39acb7	e585ef21-8c60-48c3-a6cb-fa685d0c6a7d.rna_seq.augmented_star_gene_counts.tsv			
2f139a03-2848-4b7e-9c81-34fb5d4bf3bf	2683f38b-0902-499f-a0ec-1bc0c2cb4c52.rna_seq.augmented_star_gene_counts.tsv			
953b89f7-4f4d-4624-9684-d287d490d5b4	09e6c954-819c-40d9-afa0-3441b4f132cb.rna_seq.augmented_star_gene_counts.tsv			
6d426248-0d0c-4a60-9f9d-ea8b77d9d8bb	48d923b8-8d7a-46ec-bc5c-85542cc73c2c.rna_seq.augmented_star_gene_counts.tsv			
80757185-4699-4dc0-a39d-5da6b97005f7	85620245-0baf-4cd1-94df-a0a913acaeb9.rna_seq.augmented_star_gene_counts.tsv			
14456850-fe81-41f4-bcbb-eff9e48d04d7	07120540-2f4e-48d3-9354-a82b658ad6f5.rna_seq.augmented_star_gene_counts.tsv			
10b096a4-78d2-4f80-9792-306cf65c54be	961aedcd-52db-4aa8-94d7-8ad97f3827b1.rna_seq.augmented_star_gene_counts.tsv			
524b91bd-e61c-475a-9217-3ccd76688a0d	99855834-3888-4ec4-8762-e3c002358d0f.rna_seq.augmented_star_gene_counts.tsv			
723ac041-cbef-41d9-804d-e70c007086ab	7865b4fe-d75d-4330-afc5-16b590495f5f.rna_seq.augmented_star_gene_counts.tsv			
7579dcb1-50fe-4ea5-b943-db0fb9f02afc	2561353d-6117-4c92-9d23-942b714f9a53.rna_seq.augmented_star_gene_counts.tsv			
d7b647d8-f2bd-46b5-aa35-8b16b9eda800	01673f41-93fc-49bc-99bd-db22c68b5727.rna_seq.augmented_star_gene_counts.tsv			
5d866859-e5b6-455c-b907-d24df2d2b387	311df412-b424-4aef-8886-c217fd9397d8.rna_seq.augmented_star_gene_counts.tsv			
ec391e89-3ffa-4e8f-ba46-7ea7a95dcd7b	42d768b0-15c5-47c4-8001-23e7ecb87ce5.rna_seq.augmented_star_gene_counts.tsv			
530aeb2b-2b87-4894-9853-8120649ccbf8	66526313-377c-444c-8952-687142d707fd.rna_seq.augmented_star_gene_counts.tsv			
6f76f81d-dd73-46d2-9fa0-3dc21b753b28	f54f90e8-52b2-46c8-a020-9d89260e677a.rna_seq.augmented_star_gene_counts.tsv			
cc8ebbe0-d89a-4f78-87cf-660e27df4d10	6879d560-083b-4bba-a780-7c2e2cd0a5b1.rna_seq.augmented_star_gene_counts.tsv			
46ebf756-539b-41e4-9636-e8a7ba8d9bb8	2ab00a6e-52b6-431b-ad8c-6ad20405043d.rna_seq.augmented_star_gene_counts.tsv			
9b55f6d0-87d1-4afe-b27a-491c5e4784b1	7938c256-104d-4d46-b833-6758275ee33d.rna_seq.augmented_star_gene_counts.tsv			
b0a41da1-d309-4d5a-bd1e-59a7ecdcf64a	fccbe338-8ab3-4811-8ca2-79c1294261fd.rna_seq.augmented_star_gene_counts.tsv			
a22b70b1-3c74-43d9-9786-07d254605fb0	6cd313d5-c56e-4e40-b300-589c41cf4145.rna_seq.augmented_star_gene_counts.tsv			
2cafd44f-2e38-40d5-937a-d122886ef8e7	b7c5a9d4-1fc1-46a5-a86a-e3c4f38f85df.rna_seq.augmented_star_gene_counts.tsv			
71ebdd7f-ea9a-4b10-82ca-b0d2f6c0c7cb	44034f69-a8c2-4959-a3b9-aceb889c15b4.rna_seq.augmented_star_gene_counts.tsv			
23b668a7-cfdd-4785-ba3c-3af60184803c	a6e75a2e-6b13-42e3-aca3-7421a4367498.rna_seq.augmented_star_gene_counts.tsv			
4b33a2f5-280a-40d1-be86-4075ac09aaf8	031d95f4-3689-41ee-adf7-097695d50ba5.rna_seq.augmented_star_gene_counts.tsv			
13b83e88-3035-4c10-bc05-a6bdf2f04fd0	fe204dc8-a469-44cf-a65e-d0e969637504.rna_seq.augmented_star_gene_counts.tsv			
996fc9a8-2cdd-4f23-a716-218aaa69df94	72165763-bcce-4215-a93b-ba13cbe45e5c.rna_seq.augmented_star_gene_counts.tsv			
10d2df0b-08ca-4eff-9e42-b23620a214fe	a350fc85-f426-42c9-9ef7-f7e06b132673.rna_seq.augmented_star_gene_counts.tsv			
8c4a7f36-f25b-449a-87e9-e413a35cbca6	8e470a30-68ca-4bf7-aeae-6d884c300c27.rna_seq.augmented_star_gene_counts.tsv			
7779c5b1-c3cb-4595-a0cf-8e78085091e3	905e9e48-18c8-4a1d-a37e-fe6afa8e808d.rna_seq.augmented_star_gene_counts.tsv			
de34e402-4e33-4beb-8c84-34f6b0288d9e	a8c9315b-9084-489f-8ef6-0e061a343845.rna_seq.augmented_star_gene_counts.tsv			
28049154-f1db-4b0e-9cbc-4bdd5a745d46	74335935-98df-47b5-bc64-c5344b25c332.rna_seq.augmented_star_gene_counts.tsv			
6ff62568-3f20-4552-9fd1-b8e4fc21c42c	3a2cfc92-dd3d-475c-a841-37542aaa1e8d.rna_seq.augmented_star_gene_counts.tsv			
7ad79b6a-5f2b-4315-ae69-25439113193f	c1673329-c5be-4cd9-b8c5-932d4f2a184d.rna_seq.augmented_star_gene_counts.tsv			
9cd8121a-2c9d-4a60-9235-8f3f5702b5cc	e4345398-dec9-492f-8108-83e336bb2e12.rna_seq.augmented_star_gene_counts.tsv			
d81be377-be69-4b84-a224-015aa562601f	fee13f16-47c5-4bd5-871d-d39992f60ec1.rna_seq.augmented_star_gene_counts.tsv			
a2b8d498-f21a-4718-8661-1cd9535ac2e5	bee0d45a-add1-4765-990f-4d58934ab094.rna_seq.augmented_star_gene_counts.tsv			
34738236-8107-4968-a889-5a3628d82ebc	be0e8bb7-c5ef-4f5a-9112-095350caab7e.rna_seq.augmented_star_gene_counts.tsv			
fd434c3e-120b-4e22-bd02-25e97f36fb1e	748b6e0b-2368-4d58-9e1c-06b438a2b9e8.rna_seq.augmented_star_gene_counts.tsv			
bd9af814-1b9e-4a00-99a3-79c3dc2086f2	5d6a877b-18d0-42c8-9aed-f8d30bc0e850.rna_seq.augmented_star_gene_counts.tsv			
3b566d79-cc7f-4bfc-a18d-c3598f87035a	d3feaf5b-68fd-4df3-a30f-af8fcd5a5ed8.rna_seq.augmented_star_gene_counts.tsv			
0486cbe7-ea63-4a75-8bad-7e95993b34ce	bf95f48b-ab11-4950-9bbe-8f4e7445dca1.rna_seq.augmented_star_gene_counts.tsv			
33450be4-919f-4142-9650-813eb72f1870	a44e1a59-b04a-4581-8657-3476ae4019c3.rna_seq.augmented_star_gene_counts.tsv			
1d209e9f-bec9-4d4d-9805-837ebd62c103	7def548f-8d54-41a3-a6b7-99b2f2abc894.rna_seq.augmented_star_gene_counts.tsv			
dfe94936-7310-488f-87bf-22e6a7b3078f	35c312a3-b0b7-4f73-82c6-0e110c1e8f44.rna_seq.augmented_star_gene_counts.tsv			
51d2bbc3-8240-458b-9feb-0d9808fa1646	42c01286-ab49-4d6e-ad9a-4579d2f94f2d.rna_seq.augmented_star_gene_counts.tsv			
049fed5d-ea56-4406-8db9-0118d23c490b	0cc54997-16b1-41ec-9e22-e9618a890158.rna_seq.augmented_star_gene_counts.tsv			
8fae59bb-c8bd-4125-8c8e-7908eebb5609	ed60b91e-dc3d-4d44-a028-f3b984c5338a.rna_seq.augmented_star_gene_counts.tsv			
a162c257-2c4e-479a-bdff-1361ffc1a7fd	08b55ab1-42b1-4fe1-8d97-5e3fd1b5b055.rna_seq.augmented_star_gene_counts.tsv			
0a72a23d-0e31-4060-8a99-c5da7e11c5ef	fa17239b-e5fb-4818-a4f7-f49d996d4a05.rna_seq.augmented_star_gene_counts.tsv			
07f3248f-4c22-441e-8b7e-18a77064d984	0a669eee-5610-4b4d-af54-7fc85a0bab8f.rna_seq.augmented_star_gene_counts.tsv			
3b799ba8-b92c-4569-ae57-08bda7449f25	5d0f348a-2541-4ff2-92df-daa9a9a851fd.rna_seq.augmented_star_gene_counts.tsv			
51d9078e-4e0f-4f3e-979a-4f08695757b4	596ac9ca-ef00-4244-aac4-88e36311a9e5.rna_seq.augmented_star_gene_counts.tsv			
bb7388dc-7ad7-4489-a21e-9058500f8243	da9673bd-3c52-4835-ac40-e7fa0083115e.rna_seq.augmented_star_gene_counts.tsv			
ca7103ce-8d6d-4b6f-8982-c12914fc896e	94c6aa8d-f524-4c0f-ac62-5343f5814db3.rna_seq.augmented_star_gene_counts.tsv			
91fa8c2b-ee99-42ec-a0e2-088931d05c4a	1835816c-b9ca-4d5a-8baa-633106ba5755.rna_seq.augmented_star_gene_counts.tsv			
e67fccdf-1110-46fa-898e-6626f65508da	927291ce-9a1d-464e-a15a-cc0656cc7055.rna_seq.augmented_star_gene_counts.tsv			
70da7725-200d-4d95-b0f2-f774c5e24673	63bcb8e7-c0a1-481a-92f9-80bc7d1c4871.rna_seq.augmented_star_gene_counts.tsv			
5dbdee96-ea4e-4a0c-8ebe-55a99be125d7	6cce95fe-f659-4f46-9cb6-efe5f8a92246.rna_seq.augmented_star_gene_counts.tsv			
77ba1bb5-9f5b-4db1-a911-19f07adaa0e5	06a864f2-4300-4675-ad8b-511907a93d41.rna_seq.augmented_star_gene_counts.tsv			
36697eb3-31ab-4c81-9f93-5e812fec5ffa	2d830b5f-3499-4555-b686-70e6df233924.rna_seq.augmented_star_gene_counts.tsv			
9678c5cb-97be-4f76-a161-fece8b5982cd	5982e29e-b818-42b1-87bc-bf55f9d943c1.rna_seq.augmented_star_gene_counts.tsv			
6ddcb8b3-c6a3-4182-9c4a-01ed10db6f96	b4a04fab-7043-4d1d-921a-0fe2d2811304.rna_seq.augmented_star_gene_counts.tsv			
b3631beb-6a25-46c9-a2f0-88e35eb6bc00	b923c212-85c5-4a3b-a7ce-5561582ca55f.rna_seq.augmented_star_gene_counts.tsv			
cc5ead11-ada3-4db3-bb08-1a944e497c47	92bb8159-cd5a-4a8f-b881-8a85d28f0b2d.rna_seq.augmented_star_gene_counts.tsv			
9039aef0-3d43-4b37-8508-6135a2616cb5	8a10d762-6fe7-4c0d-81cb-16689954fecd.rna_seq.augmented_star_gene_counts.tsv			
e46b1407-7768-4914-a937-9fad62f0207b	579f5b6e-7915-4801-8078-b583c4b1fc60.rna_seq.augmented_star_gene_counts.tsv			
a6d8287f-24e7-49bf-87e6-e49a00e3aedb	758da6a7-fa54-4254-921d-abca1f6cafcc.rna_seq.augmented_star_gene_counts.tsv			
68ac1641-5d4d-478b-bec5-a4c9391e3bb1	ab61de7b-a3a5-47c6-8eee-86c1f54a1dd0.rna_seq.augmented_star_gene_counts.tsv			
74d18812-6caa-4398-8d31-e1cde3ac75d3	8f55c9aa-d154-43ef-a752-0193aaa5ab51.rna_seq.augmented_star_gene_counts.tsv			
0508b025-15b5-4012-b1b1-530d329eeec9	8598c338-e04c-4a8a-92da-1ef545a6ca45.rna_seq.augmented_star_gene_counts.tsv			
650cd049-8ee7-4191-be99-e8c6740cbf80	9f6c5557-6172-4862-94bd-012d27d214b5.rna_seq.augmented_star_gene_counts.tsv			
7cb360b5-2a40-406b-a991-8f8a5a4e22bd	9c48aaa6-3d71-47aa-af9b-c5a0e89b0045.rna_seq.augmented_star_gene_counts.tsv			
7343f7e6-bc2a-417a-b8e3-465d12ac9939	d4f65365-60c4-4543-8e39-bb8481ec150a.rna_seq.augmented_star_gene_counts.tsv			
78a776c3-2c61-4162-a19f-15af1100a18a	0752210a-cf91-4f8b-9adc-ae9997fc1bb3.rna_seq.augmented_star_gene_counts.tsv			
d76c021e-8c55-43cd-84ee-9785a323c29a	725136f6-c497-4c22-951d-c01a36d9bd7e.rna_seq.augmented_star_gene_counts.tsv			
b161d612-e678-4cd9-9e5c-95c60b51390a	d340f449-ac95-4a2f-9363-90e318c871f4.rna_seq.augmented_star_gene_counts.tsv			
5fb5f7ac-6241-4c3d-8350-b18f28c317c5	ce9fde25-d159-47df-9a48-d6ab0d392477.rna_seq.augmented_star_gene_counts.tsv			
